EnterpriseId,ServiceId,AgeCategoryId,Name,MinimalAge,MaximalAge,ShortName,Classification
fc7d49ec-8727-4d07-bb25-ad8f0054e97d,bd9a1218-9646-4d78-a95f-ad8f0054edd8,249a1faf-0af2-4742-8fd4-ade400cf7a37,Children,0,18,,Child
fc7d49ec-8727-4d07-bb25-ad8f0054e97d,bd9a1218-9646-4d78-a95f-ad8f0054edd8,921924ed-6e46-4a66-8ba2-ade400cf7a37,Adults,,,,Adult
773d759a-6463-44a1-af12-ad8a0003acef,f64ae9dd-e340-40f2-865b-ad8a0003b24e,22ccd503-ea9e-4398-bad7-ade400cf79b8,Children,0,18,,Child
773d759a-6463-44a1-af12-ad8a0003acef,f64ae9dd-e340-40f2-865b-ad8a0003b24e,d4900498-c809-43dc-a415-ade400cf79b8,Adults,,,,Adult
b8ad44f0-f5f0-474a-882c-ad60004eb088,9ff3bac2-c953-4489-885d-ad60004eb6db,1d2c2543-d4c2-48d4-bf2c-ade400cf7841,Children,0,18,,Child
61f40fb2-4edc-46f8-b1b1-ad600045149d,036e0dd8-e003-4f43-8855-ad6000451bd6,3ad35d20-12ce-4b9f-b7e4-ade400cf7841,Adults,,,,Adult
7ca437de-4b33-42c7-8e0d-ad5c003cba6a,21e4adee-00cc-4203-a199-ad5c003cbee7,9ea6a5b3-b358-4c32-b7d4-ade400cf7841,Adults,,,,Adult
16ebe364-cd4e-4bb9-9f6e-ad600048a67b,7545948f-6aba-4ecd-b62c-ad600048b541,8f793c62-d9e0-4d6c-b799-ade400cf7841,Adults,,,,Adult
61f40fb2-4edc-46f8-b1b1-ad600045149d,036e0dd8-e003-4f43-8855-ad6000451bd6,13702e88-0648-44bc-a70f-ade400cf7841,Children,0,18,,Child
94713c6c-cf82-4e24-a1c8-ad5c00343e66,6f24f280-47ac-468d-bdca-ad5c003448eb,aafcc3dc-c0ec-4fb5-a479-ade400cf7841,Children,0,18,,Child
b8ad44f0-f5f0-474a-882c-ad60004eb088,9ff3bac2-c953-4489-885d-ad60004eb6db,f8d09201-5701-4af7-924d-ade400cf7841,Adults,,,,Adult
16ebe364-cd4e-4bb9-9f6e-ad600048a67b,7545948f-6aba-4ecd-b62c-ad600048b541,7b8ba426-1c4f-4f00-9166-ade400cf7841,Children,0,18,,Child
94713c6c-cf82-4e24-a1c8-ad5c00343e66,6f24f280-47ac-468d-bdca-ad5c003448eb,e79c3df8-8559-4ec3-83e7-ade400cf7841,Adults,,,,Adult
7ca437de-4b33-42c7-8e0d-ad5c003cba6a,21e4adee-00cc-4203-a199-ad5c003cbee7,b8ca750e-2aec-4261-82b0-ade400cf7841,Children,0,18,,Child
7c16d57e-1da6-40b1-9581-ad52006a8da5,90f2a6a4-82a6-44f4-be18-ad52006a9802,71fe4ea8-fb2e-4e25-ad6e-ade400cf77cd,Children,0,18,,Child
07e54a9e-e95e-401b-9d9d-ad520056d4c7,bef26c15-ac2d-41e1-8e44-ad5200570670,e0e28067-f0c3-4a9d-a8e6-ade400cf77cd,Children,0,18,,Child
7c16d57e-1da6-40b1-9581-ad52006a8da5,90f2a6a4-82a6-44f4-be18-ad52006a9802,7a73bd33-dbde-4211-9a1a-ade400cf77cd,Adults,,,,Adult
07e54a9e-e95e-401b-9d9d-ad520056d4c7,bef26c15-ac2d-41e1-8e44-ad5200570670,69a3b6b7-c70a-4f04-8e55-ade400cf77cd,Adults,,,,Adult
3a00c3d8-68f0-4896-8aab-ad280094b1f4,618e402b-3ce6-4a85-9229-ad280094b609,8bd7c77e-575b-4ca3-b040-ade400cf7472,Adults,,,,Adult
15f2f224-568f-42da-8004-ad28008f0d00,cc9e8739-c651-4450-9264-ad28008f1144,4bf6d40f-ae2a-4c44-add3-ade400cf7472,Adults,,,,Adult
3a00c3d8-68f0-4896-8aab-ad280094b1f4,618e402b-3ce6-4a85-9229-ad280094b609,44da5601-7204-4e18-8de7-ade400cf7472,Children,0,18,,Child
15f2f224-568f-42da-8004-ad28008f0d00,cc9e8739-c651-4450-9264-ad28008f1144,0ebef16d-fc3c-40ae-8d9c-ade400cf7472,Children,0,18,,Child
6a2d59a9-2cf0-4e26-bed5-ad2800bd6816,e83fa351-eaa0-4c60-995d-ad2800bd721f,9d12f80b-9625-4bd6-88e7-ade400cf7472,Children,0,18,,Child
6a2d59a9-2cf0-4e26-bed5-ad2800bd6816,e83fa351-eaa0-4c60-995d-ad2800bd721f,e3e85b86-8a74-45bc-865d-ade400cf7472,Adults,,,,Adult
